а̀-ля́	а̀-л'а́
бди́тельность	бд'и́т'ил'нас'т'
бди́тельный	бд'и́т'ил'ныj
бѐнзоколо́нка	б'э̀нзакало́нка
бѐнзонасо́с	б'э̀нзанасо́с
бѐнзопила́	б'э̀нзап'ила́
бе́г	б'э́к
бе́гать	б'э́гат'
бе́гло	б'э́гла
бе́глость	б'э́глас'т'
бе́глый	б'э́глыj
бе́гом	б'э́гам
бе́гство	б'э́кства
бе́дно	б'э́дна
бе́дность	б'э́днас'т'
бе́дный	б'э́дныj
бе́дствие	б'э́цтв'ии
бе́жевый	б'э́жывыj
бе́женец	б'э́жын'иц
бе́з	б'э́с
бе́здна	б'э́зна
бе́йт	б'э́jт
бе́к	бэ́к
бе́л	бэ́л
бе́ленький	б'э́л'ин'к'иj
бе́лов	бэ́лаф
бе́лок	б'э́лак
бе́лочка	б'э́лач'ка
бе́лые	б'э́лыи
бе́лый	б'э́лыj
бе́рег	б'э́р'ик
бе́режно	б'э́р'ижна
бе́ркут	б'э́ркут
бе́с	б'э́с
бе́ст	бэ́ст
бе́та	бэ́та
бе́тель	б'э́т'ил'
бе́шено	б'э́шына
бе́шенство	б'э́шынства
бе́шеный при́нтер	б'э́шыныj пр'и́нтыр
бегемо́т	б'иг'имо́т
бегле́ц	б'игл'э́ц
бего́м	б'иго́м
беготня́	б'игат'н'а́
бегу́н	б'игу́н
бегу́нья	б'игу́н'jи
бегуно́к	б'игуно́к
беда́	б'ида́
бедла́м	б'идла́м
бедня́га	б'ид'н'а́га
бедня́жка	б'ид'н'а́шка
бедня́к	б'ид'н'а́к
бедола́га	б'идала́га
бедро́	б'идро́
бежа́ть	б'ижа́т'
безалкого́льный	б'изалкаго́л'ныj
безапелляцио́нно	б'изап'ил'ицыо́нна
безбе́дно	б'изб'э́дна
безбиле́тный	б'изб'ил'э́тныj
безбо́жник	б'избо́жн'ик
безбо́жно	б'избо́жна
безболе́зненно	б'избал'э́з'н'ина
безболе́зненный	б'избал'э́з'н'иныj
безбоя́зненно	б'избаjа́з'н'ина
безви́зовый	б'изв'и́завыj
безвку́сица	б'исфку́с'ица
безвку́сно	б'исфку́сна
безвку́сный	б'исфку́сныj
безвозвра́тно	б'извазвра́тна
безвозме́здно	б'извазм'э́зна
безвозме́здный	б'извазм'э́зныj
безвре́дно	б'извр'э́дна
безвре́дность	б'извр'э́днас'т'
безвре́дный	б'извр'э́дныj
безвре́менно	б'извр'э́м'ина
безвре́менье	б'извр'э́м'ин'jи
безвы́лазно	б'извы́лазна
безголо́вый	б'изгало́выj
безгра́мотно	б'изгра́матна
безгра́мотность	б'изгра́матнас'т'
безграни́чно	б'изгран'и́ч'на
безграни́чность	б'изгран'и́ч'нас'т'
безграни́чный	б'изгран'и́ч'ныj
безда́рный	б'изда́рныj
безде́йствие	б'из'д'э́jств'ии
безде́йствовать	б'из'д'э́jствават'
безде́лье	б'из'д'э́л'jи
безде́льник	б'из'д'э́л'н'ик
безде́льничать	б'из'д'э́л'н'ич'ит'
безде́нежье	б'из'д'э́н'ижjи
безделу́шка	б'из'д'илу́шка
бездефици́тный	б'из'д'иф'ицы́тныj
бездо́мный	б'издо́мныj
бездо́нный	б'издо́нныj
бездоро́жье	б'издаро́жjи
безду́мно	б'изду́мна
безду́мный	б'изду́мныj
безду́шный	б'изду́шныj
безды́мный	б'изды́мныj
безжа́лостно	б'ижжа́ласна
безжа́лостный	б'ижжа́ласныj
беззабо́тно	б'изабо́тна
беззабо́тный	б'иззабо́тныj
беззако́ние	б'иззако́н'ии
беззву́чно	б'иззву́ч'на
беззву́чный	б'иззву́ч'ныj
безли́кий	б'изл'и́к'иj
безлю́дный	б'изл'у́дныj
безме́рно	б'изм'э́рна
безмо́лвно	б'измо́лвна
безмото́рный	б'измато́рныj
безмяте́жно	б'изм'ит'э́жна
безмяте́жность	б'изм'ит'э́жнас'т'
безнадё́жно	б'изнад'о́жна
безнака́занно	б'изнака́зана
безнака́занность	б'изнака́занас'т'
безнали́чный	б'изнал'и́ч'ныj
безно́гий	б'изно́г'иj
безо́бразно	б'изо́бразна
безо́бразный	б'изо́бразныj
безоби́дно	б'изаб'и́дна
безоби́дный	б'изаб'и́дныj
безобра́зие	б'изабра́з'ии
безобра́зно	б'изабра́зна
безобра́зный	б'изабра́зныj
безогля́дно	б'изагл'а́дна
безогово́рочно	б'изагаво́рач'на
безогово́рочный	б'изагаво́рач'ныj
безопа́сно	б'изапа́сна
безопа́сность	б'изапа́снас'т'
безопа́сный се́кс	б'изапа́сныj сэ́кс
безоснова́тельно	б'изаснава́т'ил'на
безостано́вочно	б'изастано́вач'на
безостано́вочный	б'изастано́вач'ныj
безотве́тственно	б'изатв'э́цтв'ина
безотве́тственность	б'изатв'э́цтв'инас'т'
безотве́тственный	б'изатв'э́цтв'иныj
безотка́зно	б'изатка́зна
безотка́зный	б'изатка́зныj
безотлага́тельно	б'изатлага́т'ил'на
безотноси́тельно	б'изатнас'и́т'ил'на
безоши́бочно	б'изашы́бач'на
безрабо́тица	б'израбо́т'ица
безрабо́тный	б'израбо́тныj
безразде́льно	б'израз'д'э́л'на
безразли́чие	б'изразл'и́ч'ии
безрассу́дно	б'израсу́дна
безрассу́дный	б'израссу́дныj
безрассу́дство	б'израссу́цтва
безрезульта́тно	б'изр'изул'та́тна
безро́потно	б'изро́патна
безры́бье	б'изры́б'jи
безу́держно	б'изу́д'иржна
безу́держный	б'изу́д'иржныj
безу́мец	б'изу́м'иц
безу́мие	б'изу́м'ии
безу́мно	б'изу́мна
безу́мный	б'изу́мныj
безу́мство	б'изу́мства
безубы́точность	б'изубы́тач'нас'т'
безубы́точный	б'изубы́тач'ныj
безукори́зненно	б'изукар'и́з'н'ина
безупре́чно	б'изупр'э́ч'на
безупре́чный	б'изупр'э́ч'ныj
безусло́вно	б'изусло́вна
безусло́вный	б'изусло́вныj
безуспе́шно	б'изусп'э́шна
безуча́стно	б'изуч'а́сна
безъязы́чный	б'изjизы́ч'ныj
безымя́нный	б'изым'а́нныj
безысхо́дность	б'изысхо́днас'т'
бейсбо́л	б'иjзбо́л
бейсбо́льный	б'иjзбо́л'ныj
бейсболи́ст	б'иjзбал'и́ст
беко́н	б'ико́н
беле́сый	б'ил'э́сыj
бели́ла	б'ил'и́ла
белко́вый	б'илко́выj
беллетри́стика	б'ил'итр'и́с'т'ика
бело́к	б'ило́к
белору́с	б'илару́с
белору́сский	б'илару́сск'иj
белосне́жный	б'илас'н'э́жныj
белу́га	б'илу́га
бельги́ец	б'ил'г'и́иц
бельги́йка	б'ил'г'и́jка
бельги́йский	б'ил'г'и́jск'иj
бельмо́	б'ил'мо́
бельцы́	б'ил'цы́
бельё́	б'ил'jо́
беляко́в	б'ил'ико́ф
бенга́льский	б'инга́л'ск'иj
бенефи́с	б'ин'иф'и́с
бензи́н	б'ин'з'и́н
бензи́новый	б'ин'з'и́навыj
бензо́л	б'инзо́л
бензоба́к	б'инзаба́к
бензово́з	б'инзаво́с
бере́менность	б'ир'э́м'инас'т'
бере́менный	б'ир'э́м'иныj
бере́чь	б'ир'э́ч'
берегово́й	б'ир'игаво́j
бережли́вость	б'ир'ижл'и́вас'т'
бережли́вый	б'ир'ижл'и́выj
бери́ллий	б'ир'и́л'иj
берли́н	б'ирл'и́н
берли́нский	б'ирл'и́нск'иj
бесе́да	б'ис'э́да
бесе́довать	б'ис'э́дават'
беси́ть	б'ис'и́т'
беси́ться	б'ис'и́ца
бескомпроми́ссно	б'искампрам'и́ссна
бескомпроми́ссность	б'искампрам'и́сснас'т'
бескомпроми́ссный	б'искампрам'и́ссныj
бесконе́чно	б'искан'э́ч'на
бесконе́чность	б'искан'э́ч'нас'т'
бесконе́чный	б'искан'э́ч'ныj
бесконта́ктный	б'исканта́ктныj
бесконтро́льно	б'искантро́л'на
бесконтро́льный	б'искантро́л'ныj
бескоры́стно	б'искары́сна
бескра́йний	б'искра́jн'иj
бескро́вно	б'искро́вна
беспардо́нно	б'испардо́нна
беспарти́йный	б'испарт'и́jныj
беспе́чно	б'исп'э́ч'на
беспе́чность	б'исп'э́ч'нас'т'
беспе́чный	б'исп'э́ч'ныj
бесперебо́йно	б'исп'ир'ибо́jна
